ANG_CONT
61.0
62.0
54.0
56.0
46.0
67.0
64.0
52.0
54.0
57.0
57.0
59.0
64.0
64.0
59.0
59.0
61.0
54.0
49.0
59.0
59.0
56.0
59.0
59.0
62.0
57.0
52.0
66.0
56.0
51.0
61.0
66.0
51.0
56.0
73.0
56.0
73.0
54.0
57.0
64.0
56.0
52.0
56.0
57.0
56.0
47.0
64.0
54.0
46.0
54.0
56.0
71.0
57.0
62.0
56.0
46.0
57.0
66.0
66.0
47.0
52.0
57.0
52.0
56.0
67.0
64.0
46.0
54.0
64.0
46.0
52.0
66.0
67.0
54.0
56.0
56.0
61.0
46.0
56.0
54.0
66.0
54.0
56.0
62.0
51.0
56.0
71.0
57.0
62.0
62.0
61.0
49.0
61.0
67.0
59.0
57.0
61.0
59.0
79.0
71.0
57.0
57.0
56.0
67.0
62.0
49.0
51.0
57.0
57.0
71.0
57.0
57.0
51.0
61.0
64.0
62.0
51.0
56.0
78.0
54.0
59.0
61.0
64.0
52.0
47.0
64.0
54.0
56.0
56.0
56.0
57.0
62.0
62.0
64.0
66.0
62.0
59.0
62.0
57.0
61.0
56.0
46.0
56.0
57.0
56.0
56.0
69.0
59.0
57.0
59.0
46.0
51.0
59.0
59.0
72.0
49.0
59.0
67.0
57.0
57.0
52.0
66.0
47.0
56.0
52.0
56.0
57.0
62.0
61.0
56.0
54.0
62.0
54.0
62.0
57.0
47.0
62.0
59.0
62.0
59.0
52.0
59.0
54.0
56.0
61.0
59.0
51.0
56.0
56.0
54.0
56.0
51.0
52.0
59.0
66.0
57.0
61.0
59.0
54.0
66.0
51.0
51.0
52.0
49.0
61.0
62.0
56.0
57.0
57.0
47.0
51.0
54.0
51.0
57.0
56.0
62.0
66.0
52.0
62.0
52.0
62.0
54.0
51.0
61.0
61.0
56.0
74.0
62.0
51.0
56.0
51.0
62.0
67.0
46.0
59.0
57.0
61.0
56.0
62.0
61.0
71.0
59.0
57.0
57.0
67.0
56.0
57.0
57.0
61.0
67.0
59.0
59.0
57.0
54.0
54.0
56.0
62.0
61.0
62.0
56.0
57.0
51.0
62.0
62.0
52.0
47.0
61.0
56.0
57.0
66.0
62.0
54.0
51.0
57.0
66.0
61.0
56.0
52.0
46.0
57.0
74.0
49.0
54.0
73.0
54.0
52.0
52.0
52.0
66.0
49.0
57.0
57.0
52.0
66.0
51.0
46.0
54.0
66.0
52.0
54.0
46.0
61.0
54.0
51.0
57.0
49.0
54.0
51.0
61.0
67.0
61.0
46.0
62.0
52.0
49.0
52.0
59.0
57.0
71.0
71.0
66.0
59.0
56.0
47.0
73.0
57.0
57.0
59.0
56.0
64.0
59.0
59.0
46.0
52.0
54.0
61.0
59.0
46.0
52.0
57.0
61.0
54.0
62.0
47.0
47.0
54.0
61.0
62.0
59.0
56.0
61.0
49.0
49.0
54.0
51.0
74.0
61.0
59.0
56.0
67.0
49.0
54.0
67.0
64.0
61.0
56.0
62.0
62.0
57.0
56.0
57.0
56.0
49.0
62.0
81.0
59.0
56.0
56.0
56.0
57.0
61.0
54.0
57.0
51.0
67.0
51.0
74.0
59.0
59.0
61.0
57.0
51.0
59.0
57.0
66.0
54.0
61.0
57.0
46.0
46.0
49.0
74.0
69.0
57.0
66.0
62.0
66.0
64.0
57.0
64.0
61.0
61.0
57.0
61.0
57.0
64.0
61.0
52.0
57.0
57.0
49.0
62.0
57.0
51.0
51.0
56.0
59.0
62.0
56.0
57.0
64.0
59.0
57.0
59.0
59.0
61.0
57.0
47.0
57.0
61.0
54.0
54.0
57.0
59.0
57.0
64.0
52.0
62.0
61.0
54.0
61.0
62.0
62.0
62.0
51.0
62.0
54.0
69.0
62.0
62.0
64.0
56.0
66.0
57.0
62.0
52.0
57.0
57.0
51.0
64.0
54.0
52.0
59.0
49.0
54.0
51.0
59.0
67.0
57.0
62.0
62.0
57.0
54.0
47.0
61.0
57.0
59.0
56.0
61.0
67.0
56.0
61.0
71.0
62.0
57.0
61.0
64.0
59.0
66.0
62.0
57.0
52.0
59.0
76.0
52.0
67.0
62.0
62.0
62.0
59.0
61.0
61.0
54.0
69.0
54.0
56.0
57.0
57.0
59.0
54.0
64.0
67.0
51.0
57.0
64.0
52.0
52.0
57.0
57.0
57.0
56.0
56.0
56.0
61.0
57.0
61.0
52.0
54.0
54.0
59.0
57.0
59.0
57.0
54.0
59.0
64.0
59.0
59.0
56.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
